week,date,winner_team,winner_score,winner_rank,winner_side,winner_primary_color,winner_secondary_color,loser_team,loser_score,loser_rank,loser_side,loser_primary_color,loser_secondary_color,winner_team_clean,loser_team_clean,winner_conference,loser_conference
2,"Saturday, September 07, 2019",Missouri,38,,home,#010101,#000,West Virginia,7,,away,#002855,#002044,Missouri,West Virginia,Southeastern,Big 12
2,"Saturday, September 07, 2019",Memphis,55,,home,#012169,#001a54,Southern U.,24,,away,#69B3E7,#548fb8,Memphis,Southern U.,American Athletic Conference,
2,"Saturday, September 07, 2019",UAB,31,,away,#006341,#004f34,Akron,20,,home,#041E42,#031834,UAB,Akron,Conference USA,Mid-American
2,"Saturday, September 07, 2019",Virginia Tech,31,,home,#861F41,#6b1834,Old Dominion,17,,away,#003057,#002645,Virginia Tech,Old Dominion,Atlantic Coast,
2,"Saturday, September 07, 2019",Iowa,30,20.0,home,#010101,#000,Rutgers,0,,away,#C8102E,#a00c24,Iowa,Rutgers,Big Ten,Big Ten
2,"Saturday, September 07, 2019",Purdue,42,,home,#010101,#000,Vanderbilt,24,,away,#010101,#000,Purdue,Vanderbilt,Big Ten,Southeastern
2,"Saturday, September 07, 2019",Maryland,63,,home,#C8102E,#a00c24,Syracuse,20,21.0,away,#DC4405,#b03604,Maryland,Syracuse,Big Ten,Atlantic Coast
2,"Saturday, September 07, 2019",Kent St.,26,,home,#00205B,#001948,Kennesaw St.,23,,away,#010101,#000,Kent State,Kennesaw State,Mid-American,
2,"Saturday, September 07, 2019",Kansas St.,52,,home,#582C83,#462368,Bowling Green,0,,away,#FE5000,#cb4000,Kansas State,Bowling Green,Big 12,Mid-American
2,"Saturday, September 07, 2019",Michigan,24,7.0,home,#041E42,#031834,Army West Point,21,,away,#010101,#000,Michigan,Army,Big Ten,Independents(FBS)
2,"Saturday, September 07, 2019",Ohio St.,42,5.0,home,#BA0C2F,#940925,Cincinnati,0,,away,#C8102E,#a00c24,Ohio State,Cincinnati,Big Ten,American Athletic Conference
2,"Saturday, September 07, 2019",South Carolina,72,,home,#862633,#6b1e28,Charleston So.,10,,away,#002855,#002044,South Carolina,Charleston So.,Southeastern,
2,"Saturday, September 07, 2019",NC State,41,,home,#C8102E,#a00c24,Western Caro.,0,,away,#5F259F,#4c1d7f,North Carolina State,Western Caro.,Atlantic Coast,
2,"Saturday, September 07, 2019",Utah,35,13.0,home,#BA0C2F,#940925,Northern Ill.,17,,away,#BA0C2F,#940925,Utah,Northern Illinois,Pac-12,Mid-American
2,"Saturday, September 07, 2019",Ball St.,57,,home,#BA0C2F,#940925,Fordham,29,,away,#6F263D,#581e30,Ball State,Fordham,Mid-American,
2,"Saturday, September 07, 2019",Georgia Tech,14,,home,#B3A369,#8f8254,South Fla.,10,,away,#006747,#005238,Georgia Tech,South Florida,Atlantic Coast,American Athletic Conference
2,"Saturday, September 07, 2019",Miami (OH),48,,home,#C8102E,#a00c24,Tennessee Tech,17,,away,#753BBD,#5d2f97,Miami (OH),Tennessee Tech,Mid-American,
2,"Saturday, September 07, 2019",Illinois,31,,away,#E04E39,#b33e2d,UConn,23,,home,#0C2340,#091c33,Illinois,Connecticut,Big Ten,
2,"Saturday, September 07, 2019",Colorado,34,,home,#010101,#000,Nebraska,31,25.0,away,#C8102E,#a00c24,Colorado,Nebraska,Pac-12,Big Ten
2,"Saturday, September 07, 2019",Appalachian St.,56,,home,#010101,#000,Charlotte,41,,away,#046A38,#03542c,Appalachian State,Charlotte,Sun Belt,Conference USA
2,"Saturday, September 07, 2019",Mississippi St.,38,,home,#6F2C3F,#582332,Southern Miss.,15,,away,#010101,#000,Mississippi State,Southern Miss,Southeastern,Conference USA
2,"Saturday, September 07, 2019",Indiana,52,,home,#9D2235,#7d1b2a,Eastern Ill.,0,,away,#003594,#002a76,Indiana,Eastern Illinois,Big Ten,
2,"Saturday, September 07, 2019",Southern Ill.,45,,away,#6F263D,#581e30,Massachusetts,20,,home,#971B2F,#781525,Southern Illinois,Massachusetts,,Independents(FBS)
2,"Saturday, September 07, 2019",Wisconsin,61,17.0,home,#BA0C2F,#940925,Central Mich.,0,,away,#6F263D,#581e30,Wisconsin,Central Michigan,Big Ten,Mid-American
2,"Saturday, September 07, 2019",Boston College,45,,home,#862633,#6b1e28,Richmond,13,,away,#BA0C2F,#940925,Boston College,Richmond,Atlantic Coast,
2,"Saturday, September 07, 2019",Clemson,24,1.0,home,#FF6720,#cc5219,Texas A&M,10,12.0,away,#500000,#400000,Clemson,Texas A&M,Atlantic Coast,Southeastern
2,"Saturday, September 07, 2019",Louisiana Tech,20,,home,#003087,#00266c,Grambling,14,,away,#010101,#000,Louisiana Tech,Grambling,Conference USA,
2,"Saturday, September 07, 2019",Colorado St.,38,,home,#2C5234,#234129,Western Ill.,13,,away,#500778,#400560,Colorado State,Western Illinois,Mountain West,
2,"Saturday, September 07, 2019",Baylor,63,,home,#1D3C34,#173029,UTSA,14,,away,#0C2340,#091c33,Baylor,UTSA,Big 12,Conference USA
2,"Saturday, September 07, 2019",Georgia,63,3.0,home,#DA291C,#ae2016,Murray St.,17,,away,#0C2340,#091c33,Georgia,Murray State,Southeastern,
2,"Saturday, September 07, 2019",Alabama,62,2.0,home,#9D2235,#7d1b2a,New Mexico St.,10,,away,#861F41,#6b1834,Alabama,New Mexico State,Southeastern,
2,"Saturday, September 07, 2019",San Diego St.,23,,away,#A6192E,#841424,UCLA,14,,home,#0072CE,#005ba4,San Diego State,UCLA,Mountain West,Pac-12
2,"Saturday, September 07, 2019",Washington St.,59,22.0,home,#9D2235,#7d1b2a,Northern Colo.,17,,away,#002855,#002044,Washington State,Northern Colo.,Pac-12,
2,"Saturday, September 07, 2019",Florida St.,45,,home,#782F40,#602533,La.-Monroe,44,,away,#6F2C3F,#582332,Florida State,Louisiana-Monroe,Atlantic Coast,Sun Belt
2,"Saturday, September 07, 2019",Duke,45,,home,#002D72,#00245b,N.C. A&T,13,,away,#002D72,#00245b,Duke,N.C. A&T,Atlantic Coast,
2,"Saturday, September 07, 2019",Ga. Southern,26,,home,#041E42,#031834,Maine,18,,away,#0C2340,#091c33,Georgia Southern,Maine,Sun Belt,
2,"Saturday, September 07, 2019",East Carolina,48,,home,#582C83,#462368,Gardner-Webb,9,,away,#A6192E,#841424,East Carolina,Gardner-Webb,American Athletic Conference,
2,"Saturday, September 07, 2019",Wyoming,23,,away,#4E3629,#3e2b20,Texas St.,14,,home,#572932,#452028,Wyoming,Texas State,Mountain West,Sun Belt
2,"Saturday, September 07, 2019",Coastal Carolina,12,,away,#007377,#005c5f,Kansas,7,,home,#003DA5,#003084,Coastal Carolina,Kansas,Sun Belt,Big 12
2,"Saturday, September 07, 2019",Oklahoma St.,56,,home,#E35205,#b54104,McNeese,14,,away,#003087,#00266c,Oklahoma State,McNeese,Big 12,
2,"Saturday, September 07, 2019",SMU,49,,home,#C8102E,#a00c24,North Texas,27,,away,#007A33,#006128,SMU,North Texas,American Athletic Conference,Conference USA
2,"Saturday, September 07, 2019",Georgia St.,48,,home,#0032A0,#002880,Furman,42,,away,#582C83,#462368,Georgia State,Furman,Sun Belt,
2,"Saturday, September 07, 2019",Oklahoma,70,4.0,home,#9D2235,#7d1b2a,South Dakota,14,,away,#BA0C2F,#940925,Oklahoma,South Dakota,Big 12,
2,"Saturday, September 07, 2019",Middle Tenn.,45,,home,#005EB8,#004b93,Tennessee St.,26,,away,#001489,#00106d,Middle Tennessee,Tennessee State,Conference USA,
2,"Saturday, September 07, 2019",Western Ky.,20,,away,#C8102E,#a00c24,FIU,14,,home,#041E42,#031834,Western Kentucky,Florida International,Conference USA,Conference USA
2,"Saturday, September 07, 2019",Louisville,42,,home,#BA0C2F,#940925,Eastern Ky.,0,,away,#6F263D,#581e30,Louisville,Eastern Kentucky,Atlantic Coast,
2,"Saturday, September 07, 2019",South Alabama,37,,home,#BF0D3E,#980a31,Jackson St.,14,,away,#041E42,#031834,South Alabama,Jackson State,Sun Belt,
2,"Saturday, September 07, 2019",BYU,29,,away,#002E5D,#00244a,Tennessee,26,,home,#FF8200,#cc6800,Brigham Young,Tennessee,Independents(FBS),Southeastern
2,"Saturday, September 07, 2019",UCF,48,18.0,away,#010101,#000,Fla. Atlantic,14,,home,#002855,#002044,UCF,Florida Atlantic,American Athletic Conference,Conference USA
2,"Saturday, September 07, 2019",Michigan St.,51,19.0,home,#173F35,#12322a,Western Mich.,17,,away,#693F23,#54321c,Michigan State,Western Michigan,Big Ten,Mid-American
2,"Saturday, September 07, 2019",Oregon,77,16.0,home,#173F35,#12322a,Nevada,6,,away,#041E42,#031834,Oregon,Nevada,Pac-12,Mountain West
2,"Saturday, September 07, 2019",Kentucky,38,,home,#0032A0,#002880,Eastern Mich.,17,,away,#046A38,#03542c,Kentucky,Eastern Michigan,Southeastern,Mid-American
2,"Saturday, September 07, 2019",Florida,45,11.0,home,#003087,#00266c,UT Martin,0,,away,#0C2340,#091c33,Florida,UT Martin,Southeastern,
2,"Saturday, September 07, 2019",Utah St.,62,,home,#00263A,#001e2e,Stony Brook,7,,away,#A6192E,#841424,Utah State,Stony Brook,Mountain West,
2,"Saturday, September 07, 2019",Ole Miss,31,,home,#00205B,#001948,Arkansas,17,,away,#9D2235,#7d1b2a,Ole Miss,Arkansas,Southeastern,Southeastern
